328/1602, iter = 0.020184 seconds
329/1602, iter = 0.020500 seconds
330/1602, iter = 0.020679 seconds
331/1602, iter = 0.010103 seconds
332/1602, iter = 0.000329 seconds
333/1602, iter = 0.000188 seconds
334/1602, iter = 0.000274 seconds
335/1602, iter = 0.000260 seconds
336/1602, iter = 0.010614 seconds
337/1602, iter = 0.010259 seconds
338/1602, iter = 0.000269 seconds
339/1602, iter = 0.000233 seconds
340/1602, iter = 0.000229 seconds
341/1602, iter = 0.000243 seconds
342/1602, iter = 0.010179 seconds
343/1602, iter = 0.000232 seconds
344/1602, iter = 0.000220 seconds
345/1602, iter = 0.000214 seconds
346/1602, iter = 0.000212 seconds
347/1602, iter = 0.000213 seconds
348/1602, iter = 0.000204 seconds
349/1602, iter = 0.000202 seconds
350/1602, iter = 0.019467 seconds
351/1602, iter = 0.000215 seconds
352/1602, iter = 0.000203 seconds
353/1602, iter = 0.000200 seconds
354/1602, iter = 0.010531 seconds
355/1602, iter = 0.000275 seconds
356/1602, iter = 0.000248 seconds
357/1602, iter = 0.000236 seconds
358/1602, iter = 0.000227 seconds
359/1602, iter = 0.000231 seconds
360/1602, iter = 0.000228 seconds
361/1602, iter = 0.000230 seconds
362/1602, iter = 0.000212 seconds
363/1602, iter = 0.000220 seconds
364/1602, iter = 0.010071 seconds
365/1602, iter = 0.010210 seconds
366/1602, iter = 0.000301 seconds
367/1602, iter = 0.000256 seconds
368/1602, iter = 0.000234 seconds
369/1602, iter = 0.000224 seconds
370/1602, iter = 0.010751 seconds
371/1602, iter = 0.010838 seconds
372/1602, iter = 0.000239 seconds
373/1602, iter = 0.000228 seconds
374/1602, iter = 0.000239 seconds
375/1602, iter = 0.000234 seconds
376/1602, iter = 0.000217 seconds
377/1602, iter = 0.000215 seconds
378/1602, iter = 0.000210 seconds
379/1602, iter = 0.000216 seconds
380/1602, iter = 0.000209 seconds
381/1602, iter = 0.000201 seconds
382/1602, iter = 0.000164 seconds
383/1602, iter = 0.000218 seconds
384/1602, iter = 0.000212 seconds
385/1602, iter = 0.000205 seconds
386/1602, iter = 0.000206 seconds
387/1602, iter = 0.000201 seconds
388/1602, iter = 0.010059 seconds
389/1602, iter = 0.000213 seconds
390/1602, iter = 0.000192 seconds
391/1602, iter = 0.000200 seconds
392/1602, iter = 0.000190 seconds
393/1602, iter = 0.000221 seconds
394/1602, iter = 0.000224 seconds
395/1602, iter = 0.000195 seconds
396/1602, iter = 0.000193 seconds
397/1602, iter = 0.000189 seconds
398/1602, iter = 0.000209 seconds
399/1602, iter = 0.000197 seconds
400/1602, iter = 0.000195 seconds
401/1602, iter = 0.000196 seconds
402/1602, iter = 0.000191 seconds
403/1602, iter = 0.000185 seconds
404/1602, iter = 0.000194 seconds
405/1602, iter = 0.000188 seconds
406/1602, iter = 0.000187 seconds
407/1602, iter = 0.009613 seconds
408/1602, iter = 0.000190 seconds
409/1602, iter = 0.000186 seconds
410/1602, iter = 0.000193 seconds
411/1602, iter = 0.000179 seconds
412/1602, iter = 0.000188 seconds
413/1602, iter = 0.000186 seconds
414/1602, iter = 0.000232 seconds
415/1602, iter = 0.000198 seconds
416/1602, iter = 0.000186 seconds
417/1602, iter = 0.000191 seconds
418/1602, iter = 0.000187 seconds
419/1602, iter = 0.000194 seconds
420/1602, iter = 0.000185 seconds
421/1602, iter = 0.000178 seconds
422/1602, iter = 0.000181 seconds
423/1602, iter = 0.000186 seconds
424/1602, iter = 0.000216 seconds
425/1602, iter = 0.000183 seconds
426/1602, iter = 0.000183 seconds
427/1602, iter = 0.000177 seconds
428/1602, iter = 0.000189 seconds
429/1602, iter = 0.000181 seconds
430/1602, iter = 0.010095 seconds
431/1602, iter = 0.000294 seconds
432/1602, iter = 0.000272 seconds
433/1602, iter = 0.010793 seconds
434/1602, iter = 0.000303 seconds
435/1602, iter = 0.000274 seconds
436/1602, iter = 0.000249 seconds
437/1602, iter = 0.000241 seconds
438/1602, iter = 0.000235 seconds
439/1602, iter = 0.000227 seconds
440/1602, iter = 0.000225 seconds
441/1602, iter = 0.000223 seconds
442/1602, iter = 0.000205 seconds
443/1602, iter = 0.000221 seconds
444/1602, iter = 0.000235 seconds
445/1602, iter = 0.000216 seconds
446/1602, iter = 0.000216 seconds
447/1602, iter = 0.000213 seconds
448/1602, iter = 0.000200 seconds
449/1602, iter = 0.000198 seconds
450/1602, iter = 0.000192 seconds
451/1602, iter = 0.000193 seconds
452/1602, iter = 0.000193 seconds
453/1602, iter = 0.000197 seconds
454/1602, iter = 0.000190 seconds
455/1602, iter = 0.000187 seconds
456/1602, iter = 0.000188 seconds
457/1602, iter = 0.000184 seconds
458/1602, iter = 0.000195 seconds
459/1602, iter = 0.000196 seconds
460/1602, iter = 0.000188 seconds
461/1602, iter = 0.000194 seconds
462/1602, iter = 0.000189 seconds
463/1602, iter = 0.000198 seconds
464/1602, iter = 0.000184 seconds
465/1602, iter = 0.000187 seconds
466/1602, iter = 0.000185 seconds
467/1602, iter = 0.000186 seconds
468/1602, iter = 0.000192 seconds
469/1602, iter = 0.000189 seconds
470/1602, iter = 0.000184 seconds
471/1602, iter = 0.000185 seconds
472/1602, iter = 0.000183 seconds
473/1602, iter = 0.000196 seconds
474/1602, iter = 0.000197 seconds
475/1602, iter = 0.000184 seconds
476/1602, iter = 0.000182 seconds
477/1602, iter = 0.000182 seconds
478/1602, iter = 0.000177 seconds
479/1602, iter = 0.000198 seconds
480/1602, iter = 0.000185 seconds
481/1602, iter = 0.000179 seconds
482/1602, iter = 0.000183 seconds
483/1602, iter = 0.000175 seconds
484/1602, iter = 0.000201 seconds
485/1602, iter = 0.000199 seconds
486/1602, iter = 0.000190 seconds
487/1602, iter = 0.000186 seconds
488/1602, iter = 0.000180 seconds
489/1602, iter = 0.000190 seconds
490/1602, iter = 0.000187 seconds
491/1602, iter = 0.000180 seconds
492/1602, iter = 0.000183 seconds
493/1602, iter = 0.000193 seconds
494/1602, iter = 0.000209 seconds
495/1602, iter = 0.000184 seconds
496/1602, iter = 0.000182 seconds
497/1602, iter = 0.000188 seconds
498/1602, iter = 0.000188 seconds
499/1602, iter = 0.000186 seconds
500/1602, iter = 0.000194 seconds
501/1602, iter = 0.000183 seconds
502/1602, iter = 0.000194 seconds
503/1602, iter = 0.000182 seconds
504/1602, iter = 0.000179 seconds
505/1602, iter = 0.000188 seconds
506/1602, iter = 0.000177 seconds
507/1602, iter = 0.000181 seconds
508/1602, iter = 0.000205 seconds
509/1602, iter = 0.000183 seconds
510/1602, iter = 0.000189 seconds
511/1602, iter = 0.000182 seconds
512/1602, iter = 0.000182 seconds
513/1602, iter = 0.000183 seconds
514/1602, iter = 0.000183 seconds
515/1602, iter = 0.000180 seconds
516/1602, iter = 0.000188 seconds
517/1602, iter = 0.000181 seconds
518/1602, iter = 0.000179 seconds
519/1602, iter = 0.000177 seconds
520/1602, iter = 0.000182 seconds
521/1602, iter = 0.000186 seconds
522/1602, iter = 0.000182 seconds
523/1602, iter = 0.000177 seconds
524/1602, iter = 0.000182 seconds
525/1602, iter = 0.000183 seconds
526/1602, iter = 0.000192 seconds
527/1602, iter = 0.000189 seconds
528/1602, iter = 0.000175 seconds
529/1602, iter = 0.000178 seconds
530/1602, iter = 0.000174 seconds
531/1602, iter = 0.000184 seconds
